title,author,description,url,publishedAt
Ambitious Yorkshire strengthen with Arlott signing,BBC Sport,"Yorkshire sign England bowler Em Arlott from Warwickshire on a three-year-contract, starting next season.",https://www.bbc.co.uk/sport/cricket/articles/cj4knvwxg9eo,2026-07-24 09:46:19
Only wins can stop England's curfew hokey-cokey,Stephan Shemilt,"England have scrapped their midnight curfew seven months after introducing it. Now, only wins will repair the reputational damage they have sustained, says Stephan Shemilt.",https://www.bbc.co.uk/sport/cricket/articles/czjl2pelp1go,2026-08-13 05:22:07
Taliban authorities mark five years ruling Afghanistan,Henry Oduah,"Hundreds of Afghans gathered around a square beside the former US embassy, with men, boys and young girls packed into pickup trucks and waving white Taliban government flags.
The post Taliban authorities mark five years ruling Afghanistan appeared first on Va…",https://www.vanguardngr.com/2026/08/taliban-authorities-mark-five-years-ruling-afghanistan/,2026-08-15 08:18:15
"'You let BJP, Congress speak, but not us': Akhilesh Yadav erupts in Lok Sabha over NEET discussion",TIMESOFINDIA.COM,Samajwadi Party chief Akhilesh Yadav accused the Lok Sabha Speaker of unfair treatment. He stated his party was denied a chance to speak on the NEET paper leak. The government and Congress were allowed to present their views while his party was not. Yadav ins…,https://timesofindia.indiatimes.com/india/you-let-bjp-congress-speak-but-not-us-akhilesh-yadav-erupts-in-lok-sabha-over-neet-discussion/articleshow/132554920.cms,2026-07-22 08:51:33
Fractured finger rules out Masood for the 2nd cricket test against West Indies,Associated Press,Pakistan in-form batter Shan Masood was ruled out of the second cricket test against the West Indies due to a fractured left index finger. Masood was the only bright batting spot in Pakistan’s 90-run defeat in the first test at Trinidad when the left-hander s…,https://sports.yahoo.com/articles/fractured-finger-rules-masood-2nd-051738603.html,2026-07-31 05:17:38
'Darkly comical': Cricket world baffled as Pakistan drop 'best bowler' Mohammad Abbas for WI 2nd Test over 'conditions',Deepanjan Mitra,"With the second Test between Pakistan and the Windies going in full fury, the whole cricket world remains confused about the sudden dropping of Mohammed Abba...",https://www.cricketnews.com/en/cricket/news/cricket-world-pakistan-drop-best-bowler-mohammad-abbas-wi-test-conditions/802d5cc242191ee7d8a95402,2026-08-02 18:40:43
Shoaib Akhtar likens himself to Brazilian icon Ronaldo Nazario if he swapped Pakistan cricket to play football,Soham Mukherjee,Former Pakistan speedster Shoaib Akhtar claims he would have played like Brazilian legend Ronaldo Nazario had he chosen football over international cricket.,https://www.cricketnews.com/en/cricket/news/shoaib-akhtar-brazilian-ronaldo-nazario-pakistan-cricket-football/a8907afaa907e84e21f7aea7,2026-07-25 03:52:34
"Tarouba, Trinidad weather forecast: Day-by-Day rain chances for West Indies vs Pakistan 1st Test 2026",Soham Mukherjee,"Get the day-by-day Tarouba, Trinidad weather forecast and hourly rain probability for the West Indies vs Pakistan 1st Test at Brian Lara Cricket Academy.",https://www.cricketnews.com/en/cricket/news/tarouba-trinidad-weather-day-rain-chances-wi-vs-pak-1st-test-2026/c0c03fca2c4070682db8cb26,2026-07-25 12:26:43
England to face Pakistan and Sri Lanka in tri-series,Matthew Henry - BBC Sport Journalist,England will play Pakistan and Sri Lanka in Lahore and Rawalpindi in a one-day international tri-series in October.,https://www.bbc.com/sport/cricket/articles/c4g618j21xko?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bsport%5D-%5Bbizdev%5D-%5Bisapi%5D,2026-08-19 12:31:57
Jemimah Rodrigues hugs Pakistan captain Fatima Sana in The Hundred despite India’s strict 'no handshake' protocol,Soham Mukherjee,"Jemimah Rodrigues hugged Pakistan captain Fatima Sana after The Hundred match, setting aside Team India's official ""no handshake"" protocol. Watch the viral video.",https://www.cricketnews.com/en/cricket/news/jemimah-rodrigues-hugs-pakistan-fatima-sana-hundred-india-no-handshake/8b9d9a41a2f42d4d6b23eecc,2026-07-31 04:00:23
